login,n,name,blog
jdblischak,1,John Blischak,https://jdblischak.com/
jdstorey,1,John D. Storey,http://jdstorey.github.io/
jeffboichuk,2,Jeff Boichuk,https://www.commerce.virginia.edu/faculty/boichuk
jefferis,1,Gregory Jefferis,http://www2.mrc-lmb.cam.ac.uk/group-leaders/h-to-m/gregory-jefferis/
JeldorPKU,1,蒋雨蒙,https://jeldorpku.github.io
jennybc,1,Jennifer (Jenny) Bryan,https://jennybryan.org
jennybc,1,Jennifer (Jenny) Bryan,https://jennybryan.org
jenren,1,Jen Ren,NA
jeroenjanssens,1,Jeroen Janssens,http://jeroenjanssens.com
jilmun,3,Janet Wesner,jilmun.github.io
jimhester,2,Jim Hester,http://www.jimhester.com
jjchern,6,JJ Chen,NA
jkolacz,1,Jacek Kolacz,
joannejang,2,Joanne Jang,joannejang.com
johnsears,1,John Sears,NA
jonathanflint,1,NA,NA
jonmcalder,1,Jon Calder,http://joncalder.co.za
jonpage,3,Jonathan Page,economistry.com
jpetuchovas,1,Justinas Petuchovas,NA
jrdnbradford,1,Jordan,www.linkedin.com/in/jrdnbradford
jrnold,4,Jeffrey Arnold,http://jrnold.me
jroberayalas,7,Jose Roberto Ayala Solares,jroberayalas.netlify.com
juandering,1,NA,
jules32,1,Julia Stewart Lowndes,http://jules32.github.io
kaetschap,1,Sonja,NA
karawoo,1,Kara Woo,http://karawoo.com
katrinleinweber,1,Katrin Leinweber,NA
kdpsingh,5,Karandeep Singh,http://umich.edu/~kdpsingh
kferris10,1,Kevin Ferris,
kirillseva,2,Kirill Sevastyanenko,NA
koalabearski,1,NA,NA
krlmlr,1,Kirill Müller,NA
landesbergn,1,Noah Landesberg,noahlandesberg.com
lawwu,1,Lawrence Wu,
lindbrook,1,NA,NA
lwjohnst86,1,Luke W Johnston,lukewjohnston.com
MarckK,1,Kara de la Marck,https://medium.com/@karadelamarck
marwahaha,1,Kunal Marwaha,kunalmarwaha.com/about
MattWittbrodt,1,Matt Wittbrodt,mattwittbrodt.com
maurolepore,2,Mauro Lepore,https://fgeo.netlify.com/
mbeveridge,7,Mark Beveridge,https://twitter.com/mbeveridge
mbeveridge,7,Mark Beveridge,https://twitter.com/mbeveridge
mfherman,1,Matt Herman,mattherman.info
mine-cetinkaya-rundel,32,Mine Cetinkaya-Rundel,https://stat.duke.edu/~mc301
mine-cetinkaya-rundel,32,Mine Cetinkaya-Rundel,http://mine-cr.com
mitsuoxv,5,Mitsuo Shiota,https://mitsuoxv.rbind.io/
mjhendrickson,1,Matthew Hendrickson,https://about.me/matthew.j.hendrickson
MJMarshall,2,NA,NA
mmhamdy,1,Mohammed Hamdy,
mpaulacaldas,3,Maria Paula Caldas,mpaulacaldas.com
mustafaascha,1,Mustafa Ascha,NA
nareal,1,Nelson Areal,nelsonareal.net
nate-d-olson,1,Nate Olson,NA
nateaff,1,Nathanael,nateaff.com
nattalides,1,NA,
nickclark1000,1,Nick Clark,NA
nickelas,1,NA,NA
nirmalpatel,2,Nirmal Patel,http://playpowerlabs.com
nischalshrestha,1,Nischal Shrestha,http://nischalshrestha.me
njtierney,1,Nicholas Tierney,http://www.njtierney.com
Nowosad,6,Jakub Nowosad,https://nowosad.github.io
olivier6088,1,NA,
pabloedug,1,Pablo E,
peterhurford,1,Peter Hurford,http://www.peterhurford.com
pkq,4,Patrick Kennedy,NA
pooyataher,1,Pooya Taherkhani,https://gitlab.com/pooyat
radugrosu,10,Radu Grosu,radugrosu.com
Ranae,2,Ranae Dietzel,ranae.github.io
rgertenbach,1,Robin Gertenbach,NA
rivaquiroga,1,Riva Quiroga,https://rivaquiroga.cl/
RJHKnight,1,Richard Knight,
rlzijdeman,2,Richard Zijdeman,NA
robertchu03,1,NA,
Robinlovelace,2,Robin,http://robinlovelace.net
robinsones,1,Emily Robinson,robinsones.github.io
robtenorio,1,Rob Tenorio,
RohanAlexander,1,Rohan Alexander,https://www.rohanalexander.com/
RomeroBarata,1,Romero Morais,NA
rudeboybert,1,Albert Y. Kim,http://rudeboybert.rbind.io/
saghirb,3,Saghir,http://www.ilustat.com
salmasian,1,Hojjat Salmasian,
sauercrowd,1,Jonas,https://blog.sauercrowdlabs.xyz
sciencificity,3,Vebash Naidoo,https://sciencificity-blog.netlify.app/
seamus-mckinsey,4,Seamus McKinsey,NA
seanpwilliams,1,NA,NA
seasmith,1,Luke Smith,https://seasmith.github.io
sedaghatfar,3,Matthew Sedaghatfar,NA
sekR4,1,Sebastian Kraus,https://www.linkedin.com/in/sebastiankrausjena
sfirke,1,Sam Firke,samfirke.com
ShanEllis,1,Shannon Ellis,shanellis.com
shoili,1,NA,shoili.github.io
Shurakai,2,Christian Heinrich,
sibusiso16,52,S'busiso Mkhondwane,NA
sonicdoe,7,Jakob Krigovsky,https://sonicdoe.com
StevenMMortimer,1,Steven M. Mortimer,https://stevenmortimer.com
stragu,4,Stéphane Guillou,https://stragu.github.io/
stragu,4,Stéphane Guillou,https://stragu.gitlab.io/
svenski,1,Sergiusz Bleja,NA
talgalili,1,Tal Galili,https://www.r-statistics.com
timwaterhouse,1,Tim Waterhouse,NA
tjmahr,1,TJ Mahr,tjmahr.com
tklebel,4,Thomas Klebel,https://thomasklebel.eu
tomjamesprior,1,Tom Prior,NA
tteo,4,Terence Teo,tteo.github.io
twgardner2,1,NA,
ulyngs,4,Ulrik Lyngs,www.ulriklyngs.com
vanderlindenma,1,NA,
wibeasley,2,Will Beasley,http://scholar.google.com/citations?user=ffsJTC0AAAAJ&hl=en
yihui,4,Yihui Xie,https://yihui.name
yihui,4,Yihui Xie,https://yihui.org
yimingli,3,Yiming (Paul) Li,https://yimingli.net
yutannihilation,1,Hiroaki Yutani,https://twitter.com/yutannihilation
yuyu-aung,1,Yu Yu Aung,
zachbogart,1,Zach Bogart,zachbogart.com
zeal626,1,NA,NA
